 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
2551,343,44,157.368,249.241,0,1.729,1.334,2.225,4.074,8.043,0.066
2552,343,45,157.235,249.954,0,1.532,1.335,2.271,4.323,9.044,0.076
2553,343,46,158.011,250.250,0,1.692,1.302,2.178,4.083,8.413,0.049
2554,344,39,348.504,324.885,0,1.586,1.346,2.284,4.279,8.682,0.070
2555,344,40,348.324,324.919,0,1.703,1.376,2.446,4.923,10.940,0.050
2556,345,39,46.877,430.944,0,1.424,1.678,3.439,7.715,18.441,0.018
2557,345,40,46.690,429.876,0,1.225,1.450,2.618,5.231,11.317,0.074
2558,345,41,46.780,430.378,0,1.410,1.537,2.973,6.385,14.802,0.045
2559,346,40,112.179,152.069,0,1.301,1.330,2.239,4.200,8.611,0.090
2560,346,41,112.568,151.737,0,1.362,1.337,2.238,4.143,8.323,0.056
2561,346,42,112.509,152.369,0,1.297,1.329,2.270,4.321,8.977,0.079
2562,346,43,112.027,151.746,0,1.093,1.396,2.475,4.871,10.404,0.106
2563,346,44,111.913,151.170,0,0.980,1.381,2.465,4.918,10.728,0.083
2564,347,40,185.460,161.980,0,1.722,1.302,2.157,3.981,8.049,0.046
2565,347,41,185.632,161.849,0,1.045,1.287,2.112,3.863,7.736,0.051
2566,347,42,185.570,162.804,0,1.008,1.419,2.654,5.704,13.615,0.035
2567,348,40,233.848,165.058,0,1.873,1.505,2.818,5.823,12.947,0.027
2568,348,41,234.349,164.596,0,1.126,1.420,2.613,5.436,12.432,0.086
2569,348,42,233.703,164.912,0,1.496,1.418,2.529,5.001,10.715,0.067
2570,349,40,90.221,186.204,0,1.595,1.472,2.673,5.327,11.391,0.050
2571,349,41,90.267,186.063,0,1.529,1.322,2.222,4.189,8.692,0.054
2572,349,42,90.497,186.004,0,2.229,1.486,2.801,5.894,13.484,0.024
2573,349,43,91.093,186.408,0,1.403,1.492,2.777,5.721,12.720,0.049
